Target_3loc,Target_Talker_3loc,Target_Gender_3loc,Target_Callsign_3loc,Target_Color_3loc,Target_Digit_3loc,Target_Angle_3loc,Mask1_3loc,Mask1_Talker_3loc,Mask1_Gender_3loc,Mask1_Callsign_3loc,Mask1_Color_3loc,Mask1_Digit_3loc,Mask1_Angle_3loc,Mask2_3loc,Mask2_Talker_3loc,Mask2_Gender_3loc,Mask2_Callsign_3loc,Mask2_Color_3loc,Mask2_Digit_3loc,Mask2_Angle_3loc
E:\ACERI\CRMFRvsEN\02SCRIPTS\Tache\sound\FR\T6_F_Delta_jaune_5.wav,T6,F,Delta,jaune,5,0,E:\ACERI\CRMFRvsEN\02SCRIPTS\Tache\sound\FR\T7_F_Alpha_rouge_7.wav,T7,F,Alpha,rouge,7,80,E:\ACERI\CRMFRvsEN\02SCRIPTS\Tache\sound\FR\T4_F_Kilo_bleu_7.wav,T4,F,Kilo,bleu,7,-80
E:\ACERI\CRMFRvsEN\02SCRIPTS\Tache\sound\FR\T4_F_Delta_rouge_4.wav,T4,F,Delta,rouge,4,0,E:\ACERI\CRMFRvsEN\02SCRIPTS\Tache\sound\FR\T5_F_Echo_jaune_3.wav,T5,F,Echo,jaune,3,20,E:\ACERI\CRMFRvsEN\02SCRIPTS\Tache\sound\FR\T7_F_Alpha_bleu_1.wav,T7,F,Alpha,bleu,1,-20
E:\ACERI\CRMFRvsEN\02SCRIPTS\Tache\sound\FR\T2_M_Delta_vert_8.wav,T2,M,Delta,vert,8,0,E:\ACERI\CRMFRvsEN\02SCRIPTS\Tache\sound\FR\T3_M_Whisky_jaune_6.wav,T3,M,Whisky,jaune,6,30,E:\ACERI\CRMFRvsEN\02SCRIPTS\Tache\sound\FR\T0_M_Echo_bleu_3.wav,T0,M,Echo,bleu,3,-30
E:\ACERI\CRMFRvsEN\02SCRIPTS\Tache\sound\FR\T4_F_Delta_vert_7.wav,T4,F,Delta,vert,7,0,E:\ACERI\CRMFRvsEN\02SCRIPTS\Tache\sound\FR\T6_F_Alpha_rouge_6.wav,T6,F,Alpha,rouge,6,10,E:\ACERI\CRMFRvsEN\02SCRIPTS\Tache\sound\FR\T7_F_Kilo_jaune_3.wav,T7,F,Kilo,jaune,3,-10
E:\ACERI\CRMFRvsEN\02SCRIPTS\Tache\sound\FR\T2_M_Delta_bleu_3.wav,T2,M,Delta,bleu,3,0,E:\ACERI\CRMFRvsEN\02SCRIPTS\Tache\sound\FR\T1_M_Charlie_rouge_5.wav,T1,M,Charlie,rouge,5,10,E:\ACERI\CRMFRvsEN\02SCRIPTS\Tache\sound\FR\T0_M_Kilo_jaune_6.wav,T0,M,Kilo,jaune,6,-10
E:\ACERI\CRMFRvsEN\02SCRIPTS\Tache\sound\FR\T7_F_Delta_bleu_2.wav,T7,F,Delta,bleu,2,0,E:\ACERI\CRMFRvsEN\02SCRIPTS\Tache\sound\FR\T6_F_Tango_bleu_3.wav,T6,F,Tango,bleu,3,90,E:\ACERI\CRMFRvsEN\02SCRIPTS\Tache\sound\FR\T4_F_Tango_rouge_4.wav,T4,F,Tango,rouge,4,-90
E:\ACERI\CRMFRvsEN\02SCRIPTS\Tache\sound\FR\T5_F_Delta_jaune_6.wav,T5,F,Delta,jaune,6,0,E:\ACERI\CRMFRvsEN\02SCRIPTS\Tache\sound\FR\T7_F_Kilo_rouge_1.wav,T7,F,Kilo,rouge,1,10,E:\ACERI\CRMFRvsEN\02SCRIPTS\Tache\sound\FR\T4_F_Kilo_vert_6.wav,T4,F,Kilo,vert,6,-10
E:\ACERI\CRMFRvsEN\02SCRIPTS\Tache\sound\FR\T7_F_Delta_rouge_8.wav,T7,F,Delta,rouge,8,0,E:\ACERI\CRMFRvsEN\02SCRIPTS\Tache\sound\FR\T4_F_Tango_bleu_2.wav,T4,F,Tango,bleu,2,50,E:\ACERI\CRMFRvsEN\02SCRIPTS\Tache\sound\FR\T5_F_Charlie_rouge_6.wav,T5,F,Charlie,rouge,6,-50
E:\ACERI\CRMFRvsEN\02SCRIPTS\Tache\sound\FR\T4_F_Delta_bleu_2.wav,T4,F,Delta,bleu,2,0,E:\ACERI\CRMFRvsEN\02SCRIPTS\Tache\sound\FR\T5_F_Alpha_jaune_1.wav,T5,F,Alpha,jaune,1,60,E:\ACERI\CRMFRvsEN\02SCRIPTS\Tache\sound\FR\T6_F_Charlie_rouge_2.wav,T6,F,Charlie,rouge,2,-60
E:\ACERI\CRMFRvsEN\02SCRIPTS\Tache\sound\FR\T1_M_Delta_rouge_8.wav,T1,M,Delta,rouge,8,0,E:\ACERI\CRMFRvsEN\02SCRIPTS\Tache\sound\FR\T3_M_Whisky_bleu_3.wav,T3,M,Whisky,bleu,3,30,E:\ACERI\CRMFRvsEN\02SCRIPTS\Tache\sound\FR\T2_M_Alpha_jaune_7.wav,T2,M,Alpha,jaune,7,-30
