Targ,Mask,AnglTarg,AnglMask,thisN,thisTrialN,thisRepN,R1.numClicks,R1.timesOn,R1.timesOff,R2.numClicks,R2.timesOn,R2.timesOff,R3.numClicks,R3.timesOn,R3.timesOff,R4.numClicks,R4.timesOn,R4.timesOff,R5.numClicks,R5.timesOn,R5.timesOff,R6.numClicks,R6.timesOn,R6.timesOff,R7.numClicks,R7.timesOn,R7.timesOff,R8.numClicks,R8.timesOn,R8.timesOff,B1.numClicks,B1.timesOn,B1.timesOff,B2.numClicks,B2.timesOn,B2.timesOff,B3.numClicks,B3.timesOn,B3.timesOff,B4.numClicks,B4.timesOn,B4.timesOff,B5.numClicks,B5.timesOn,B5.timesOff,B6.numClicks,B6.timesOn,B6.timesOff,B7.numClicks,B7.timesOn,B7.timesOff,B8.numClicks,B8.timesOn,B8.timesOff,V1.numClicks,V1.timesOn,V1.timesOff,V2.numClicks,V2.timesOn,V2.timesOff,V3.numClicks,V3.timesOn,V3.timesOff,V4.numClicks,V4.timesOn,V4.timesOff,V5.numClicks,V5.timesOn,V5.timesOff,V6.numClicks,V6.timesOn,V6.timesOff,V7.numClicks,V7.timesOn,V7.timesOff,V8.numClicks,V8.timesOn,V8.timesOff,J1.numClicks,J1.timesOn,J1.timesOff,J2.numClicks,J2.timesOn,J2.timesOff,J3.numClicks,J3.timesOn,J3.timesOff,J4.numClicks,J4.timesOn,J4.timesOff,J5.numClicks,J5.timesOn,J5.timesOff,J6.numClicks,J6.timesOn,J6.timesOff,J7.numClicks,J7.timesOn,J7.timesOff,J8.numClicks,J8.timesOn,J8.timesOff,Pasdeffort.numClicks,Pasdeffort.timesOn,Pasdeffort.timesOff,__1.numClicks,__1.timesOn,__1.timesOff,Trespeudeffort.numClicks,Trespeudeffort.timesOn,Trespeudeffort.timesOff,__2.numClicks,__2.timesOn,__2.timesOff,Peudeffort.numClicks,Peudeffort.timesOn,Peudeffort.timesOff,__3.numClicks,__3.timesOn,__3.timesOff,Effortmodere.numClicks,Effortmodere.timesOn,Effortmodere.timesOff,__4.numClicks,__4.timesOn,__4.timesOff,Effortconsiderable.numClicks,Effortconsiderable.timesOn,Effortconsiderable.timesOff,__5.numClicks,__5.timesOn,__5.timesOff,Beaucoupdeffort.numClicks,Beaucoupdeffort.timesOn,Beaucoupdeffort.timesOff,Quedubruit.numClicks,Quedubruit.timesOn,Quedubruit.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,trial.started,text_instruction.started,Target.started,Markser.started,text_instruction.stopped,R1.started,R2.started,R3.started,R4.started,R5.started,R6.started,R7.started,R8.started,B1.started,B2.started,B3.started,B4.started,B5.started,B6.started,B7.started,B8.started,V1.started,V2.started,V3.started,V4.started,V5.started,V6.started,V7.started,V8.started,J1.started,J2.started,J3.started,J4.started,J5.started,J6.started,J7.started,J8.started,Markser.stopped,Target.stopped,trial.stopped,trials.R1.numClicks,trials.R1.timesOn,trials.R1.timesOff,trials.R2.numClicks,trials.R2.timesOn,trials.R2.timesOff,trials.R3.numClicks,trials.R3.timesOn,trials.R3.timesOff,trials.R4.numClicks,trials.R4.timesOn,trials.R4.timesOff,trials.R5.numClicks,trials.R5.timesOn,trials.R5.timesOff,trials.R6.numClicks,trials.R6.timesOn,trials.R6.timesOff,trials.R7.numClicks,trials.R7.timesOn,trials.R7.timesOff,trials.R8.numClicks,trials.R8.timesOn,trials.R8.timesOff,trials.B1.numClicks,trials.B1.timesOn,trials.B1.timesOff,trials.B2.numClicks,trials.B2.timesOn,trials.B2.timesOff,trials.B3.numClicks,trials.B3.timesOn,trials.B3.timesOff,trials.B4.numClicks,trials.B4.timesOn,trials.B4.timesOff,trials.B5.numClicks,trials.B5.timesOn,trials.B5.timesOff,trials.B6.numClicks,trials.B6.timesOn,trials.B6.timesOff,trials.B7.numClicks,trials.B7.timesOn,trials.B7.timesOff,trials.B8.numClicks,trials.B8.timesOn,trials.B8.timesOff,trials.V1.numClicks,trials.V1.timesOn,trials.V1.timesOff,trials.V2.numClicks,trials.V2.timesOn,trials.V2.timesOff,trials.V3.numClicks,trials.V3.timesOn,trials.V3.timesOff,trials.V4.numClicks,trials.V4.timesOn,trials.V4.timesOff,trials.V5.numClicks,trials.V5.timesOn,trials.V5.timesOff,trials.V6.numClicks,trials.V6.timesOn,trials.V6.timesOff,trials.V7.numClicks,trials.V7.timesOn,trials.V7.timesOff,trials.V8.numClicks,trials.V8.timesOn,trials.V8.timesOff,trials.J1.numClicks,trials.J1.timesOn,trials.J1.timesOff,trials.J2.numClicks,trials.J2.timesOn,trials.J2.timesOff,trials.J3.numClicks,trials.J3.timesOn,trials.J3.timesOff,trials.J4.numClicks,trials.J4.timesOn,trials.J4.timesOff,trials.J5.numClicks,trials.J5.timesOn,trials.J5.timesOff,trials.J6.numClicks,trials.J6.timesOn,trials.J6.timesOff,trials.J7.numClicks,trials.J7.timesOn,trials.J7.timesOff,trials.J8.numClicks,trials.J8.timesOn,trials.J8.timesOff,escu.started,Pasdeffort.started,__1.started,Trespeudeffort.started,__2.started,Peudeffort.started,__3.started,Effortmodere.started,__4.started,Effortconsiderable.started,__5.started,Beaucoupdeffort.started,Quedubruit.started,escu.stopped,trials.Pasdeffort.numClicks,trials.Pasdeffort.timesOn,trials.Pasdeffort.timesOff,trials.__1.numClicks,trials.__1.timesOn,trials.__1.timesOff,trials.Trespeudeffort.numClicks,trials.Trespeudeffort.timesOn,trials.Trespeudeffort.timesOff,trials.__2.numClicks,trials.__2.timesOn,trials.__2.timesOff,trials.Peudeffort.numClicks,trials.Peudeffort.timesOn,trials.Peudeffort.timesOff,trials.__3.numClicks,trials.__3.timesOn,trials.__3.timesOff,trials.Effortmodere.numClicks,trials.Effortmodere.timesOn,trials.Effortmodere.timesOff,trials.__4.numClicks,trials.__4.timesOn,trials.__4.timesOff,trials.Effortconsiderable.numClicks,trials.Effortconsiderable.timesOn,trials.Effortconsiderable.timesOff,trials.__5.numClicks,trials.__5.timesOn,trials.__5.timesOff,trials.Beaucoupdeffort.numClicks,trials.Beaucoupdeffort.timesOn,trials.Beaucoupdeffort.timesOff,trials.Quedubruit.numClicks,trials.Quedubruit.timesOn,trials.Quedubruit.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
E:\ACERI\LE_EF_EEG\LE_EF\CRMLE\external_files\sound\FR\T0_M_Delta_Vert_3,E:\ACERI\LE_EF_EEG\LE_EF\CRMLE\external_files\sound\FR\T0_M_Alpha_Rouge_1,30,-30,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.6529886000789702],[0.6529939000029117],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.633867499884218],[0.6338719998020679],0,,,0,,,0,,,0,,,0,0,0,0,0.07138109998777509,,True,0.05348500004038215,0.07138109998777509,0.5045111666588734,0.5045111666588734,0.5714154001325369,2.0211671001743525,2.0211671001743525,2.0211671001743525,2.0211671001743525,2.0211671001743525,2.0211671001743525,2.0211671001743525,2.0211671001743525,2.0211671001743525,2.0211671001743525,2.0211671001743525,2.0211671001743525,2.0211671001743525,2.0211671001743525,2.0211671001743525,2.0211671001743525,2.0211671001743525,2.0211671001743525,2.0211671001743525,2.0211671001743525,2.0211671001743525,2.0211671001743525,2.0211671001743525,2.0211671001743525,2.0211671001743525,2.0211671001743525,2.0211671001743525,2.0211671001743525,2.0211671001743525,2.0211671001743525,2.0211671001743525,2.0211671001743525,2.6212651000823826,2.6888397000730038,2.674594100099057,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.6529886000789702],[0.6529939000029117],0,,,0,,,0,,,2.6771323999855667,2.6888397000730038,2.6888397000730038,2.6888397000730038,2.6888397000730038,2.6888397000730038,2.6888397000730038,2.6888397000730038,2.6888397000730038,2.6888397000730038,2.6888397000730038,2.6888397000730038,2.6888397000730038,3.323043400188908,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.633867499884218],[0.6338719998020679],0,,,0,,,0,,,0,,,pilot2,001,2026-07-07_14h28.39.555,CRM_Spat,,2026.1.3,59.69133607181479,2026-07-07 14h28.40.701345 +0200,
E:\ACERI\LE_EF_EEG\LE_EF\CRMLE\external_files\sound\FR\T1_M_Delta_Vert_3,E:\ACERI\LE_EF_EEG\LE_EF\CRMLE\external_files\sound\FR\T0_M_Alpha_Rouge_1,30,-30,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.2688341001048684],[0.2688390000257641],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.38512320001609623],[0.38512809993699193],0,,,0,,,0,,,0,,,0,1,1,1,3.3543958000373095,,,3.3350233000237495,3.3543958000373095,3.837481266648198,3.837481266648198,3.854835400125012,5.355208600172773,5.355208600172773,5.355208600172773,5.355208600172773,5.355208600172773,5.355208600172773,5.355208600172773,5.355208600172773,5.355208600172773,5.355208600172773,5.355208600172773,5.355208600172773,5.355208600172773,5.355208600172773,5.355208600172773,5.355208600172773,5.355208600172773,5.355208600172773,5.355208600172773,5.355208600172773,5.355208600172773,5.355208600172773,5.355208600172773,5.355208600172773,5.355208600172773,5.355208600172773,5.355208600172773,5.355208600172773,5.355208600172773,5.355208600172773,5.355208600172773,5.355208600172773,,,5.624534600181505,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.2688341001048684],[0.2688390000257641],0,,,0,,,0,,,5.649561800062656,5.672310100169852,5.672310100169852,5.672310100169852,5.672310100169852,5.672310100169852,5.672310100169852,5.672310100169852,5.672310100169852,5.672310100169852,5.672310100169852,5.672310100169852,5.672310100169852,6.057846700074151,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.38512320001609623],[0.38512809993699193],0,,,0,,,0,,,0,,,pilot2,001,2026-07-07_14h28.39.555,CRM_Spat,,2026.1.3,59.69133607181479,2026-07-07 14h28.40.701345 +0200,
E:\ACERI\LE_EF_EEG\LE_EF\CRMLE\external_files\sound\FR\T2_M_Delta_Vert_3,E:\ACERI\LE_EF_EEG\LE_EF\CRMLE\external_files\sound\FR\T0_M_Alpha_Rouge_1,30,-30,2,2,0,0,,,0,,,0,,,0,,,0,,,1,[0.43527440004982054],[0.43527929997071624],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.6188845001161098],[0.6188894000370055],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2,2,2,6.088738100137562,,,6.079536800039932,6.088738100137562,6.572020166848476,6.572020166848476,6.588763199979439,8.08785740006715,8.08785740006715,8.08785740006715,8.08785740006715,8.08785740006715,8.08785740006715,8.08785740006715,8.08785740006715,8.08785740006715,8.08785740006715,8.08785740006715,8.08785740006715,8.08785740006715,8.08785740006715,8.08785740006715,8.08785740006715,8.08785740006715,8.08785740006715,8.08785740006715,8.08785740006715,8.08785740006715,8.08785740006715,8.08785740006715,8.08785740006715,8.08785740006715,8.08785740006715,8.08785740006715,8.08785740006715,8.08785740006715,8.08785740006715,8.08785740006715,8.08785740006715,,,8.524701200192794,0,,,0,,,0,,,0,,,0,,,1,[0.43527440004982054],[0.43527929997071624],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,8.551222100155428,8.571235700044781,8.571235700044781,8.571235700044781,8.571235700044781,8.571235700044781,8.571235700044781,8.571235700044781,8.571235700044781,8.571235700044781,8.571235700044781,8.571235700044781,8.571235700044781,9.190751600079238,0,,,0,,,1,[0.6188845001161098],[0.6188894000370055],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,pilot2,001,2026-07-07_14h28.39.555,CRM_Spat,,2026.1.3,59.69133607181479,2026-07-07 14h28.40.701345 +0200,
E:\ACERI\LE_EF_EEG\LE_EF\CRMLE\external_files\sound\FR\T0_M_Delta_Vert_3,E:\ACERI\LE_EF_EEG\LE_EF\CRMLE\external_files\sound\FR\T0_M_Alpha_Rouge_1,30,-30,3,0,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.5386783999856561],[0.5386842000298202],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.5182310999371111],[0.5182364999782294],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,0,3,0,9.221067500067875,,,9.207941900007427,9.221067500067875,9.704690466697018,9.704690466697018,9.721532500116155,11.221348100109026,11.221348100109026,11.221348100109026,11.221348100109026,11.221348100109026,11.221348100109026,11.221348100109026,11.221348100109026,11.221348100109026,11.221348100109026,11.221348100109026,11.221348100109026,11.221348100109026,11.221348100109026,11.221348100109026,11.221348100109026,11.221348100109026,11.221348100109026,11.221348100109026,11.221348100109026,11.221348100109026,11.221348100109026,11.221348100109026,11.221348100109026,11.221348100109026,11.221348100109026,11.221348100109026,11.221348100109026,11.221348100109026,11.221348100109026,11.221348100109026,11.221348100109026,,,11.761111400090158,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.5386783999856561],[0.5386842000298202],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,11.79161770013161,11.804265200160444,11.804265200160444,11.804265200160444,11.804265200160444,11.804265200160444,11.804265200160444,11.804265200160444,11.804265200160444,11.804265200160444,11.804265200160444,11.804265200160444,11.804265200160444,12.323199399979785,0,,,1,[0.5182310999371111],[0.5182364999782294],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,pilot2,001,2026-07-07_14h28.39.555,CRM_Spat,,2026.1.3,59.69133607181479,2026-07-07 14h28.40.701345 +0200,
E:\ACERI\LE_EF_EEG\LE_EF\CRMLE\external_files\sound\FR\T1_M_Delta_Vert_3,E:\ACERI\LE_EF_EEG\LE_EF\CRMLE\external_files\sound\FR\T0_M_Alpha_Rouge_1,30,-30,4,1,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.3697395999915898],[0.3697448999155313],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.4014904999639839],[0.4014951998833567],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,1,4,1,12.338451800169423,,,12.33381580002606,12.338451800169423,12.838104066733893,12.838104066733893,12.838060599984601,14.354921499965712,14.354921499965712,14.354921499965712,14.354921499965712,14.354921499965712,14.354921499965712,14.354921499965712,14.354921499965712,14.354921499965712,14.354921499965712,14.354921499965712,14.354921499965712,14.354921499965712,14.354921499965712,14.354921499965712,14.354921499965712,14.354921499965712,14.354921499965712,14.354921499965712,14.354921499965712,14.354921499965712,14.354921499965712,14.354921499965712,14.354921499965712,14.354921499965712,14.354921499965712,14.354921499965712,14.354921499965712,14.354921499965712,14.354921499965712,14.354921499965712,14.354921499965712,,,14.725419000023976,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.3697395999915898],[0.3697448999155313],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,14.752099600154907,14.77142360014841,14.77142360014841,14.77142360014841,14.77142360014841,14.77142360014841,14.77142360014841,14.77142360014841,14.77142360014841,14.77142360014841,14.77142360014841,14.77142360014841,14.77142360014841,15.173544900026172,0,,,0,,,1,[0.4014904999639839],[0.4014951998833567],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,pilot2,001,2026-07-07_14h28.39.555,CRM_Spat,,2026.1.3,59.69133607181479,2026-07-07 14h28.40.701345 +0200,
E:\ACERI\LE_EF_EEG\LE_EF\CRMLE\external_files\sound\FR\T2_M_Delta_Vert_3,E:\ACERI\LE_EF_EEG\LE_EF\CRMLE\external_files\sound\FR\T0_M_Alpha_Rouge_1,30,-30,5,2,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.336026499979198],[0.33603150001727045],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.7857508000452071],[0.7857587998732924],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,2,5,2,15.204600600060076,,,15.187947200145572,15.204600600060076,15.688029466724645,15.688029466724645,15.704684199998155,17.204527199966833,17.204527199966833,17.204527199966833,17.204527199966833,17.204527199966833,17.204527199966833,17.204527199966833,17.204527199966833,17.204527199966833,17.204527199966833,17.204527199966833,17.204527199966833,17.204527199966833,17.204527199966833,17.204527199966833,17.204527199966833,17.204527199966833,17.204527199966833,17.204527199966833,17.204527199966833,17.204527199966833,17.204527199966833,17.204527199966833,17.204527199966833,17.204527199966833,17.204527199966833,17.204527199966833,17.204527199966833,17.204527199966833,17.204527199966833,17.204527199966833,17.204527199966833,,,17.541226900182664,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.336026499979198],[0.33603150001727045],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,17.578477800125256,17.605132600059733,17.605132600059733,17.605132600059733,17.605132600059733,17.605132600059733,17.605132600059733,17.605132600059733,17.605132600059733,17.605132600059733,17.605132600059733,17.605132600059733,17.605132600059733,18.391657000174746,0,,,0,,,0,,,1,[0.7857508000452071],[0.7857587998732924],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,pilot2,001,2026-07-07_14h28.39.555,CRM_Spat,,2026.1.3,59.69133607181479,2026-07-07 14h28.40.701345 +0200,
E:\ACERI\LE_EF_EEG\LE_EF\CRMLE\external_files\sound\FR\T0_M_Delta_Vert_3,E:\ACERI\LE_EF_EEG\LE_EF\CRMLE\external_files\sound\FR\T0_M_Alpha_Rouge_1,30,-30,6,0,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.5689871001522988],[0.5689915001858026],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.45215420005843043],[0.45215909997932613],0,,,0,,,0,,,0,,,0,,,0,,,0,,,2,0,6,0,18.421384199988097,,,18.40829710010439,18.421384199988097,18.904776466839635,18.904776466839635,18.921663500135764,20.42100530001335,20.42100530001335,20.42100530001335,20.42100530001335,20.42100530001335,20.42100530001335,20.42100530001335,20.42100530001335,20.42100530001335,20.42100530001335,20.42100530001335,20.42100530001335,20.42100530001335,20.42100530001335,20.42100530001335,20.42100530001335,20.42100530001335,20.42100530001335,20.42100530001335,20.42100530001335,20.42100530001335,20.42100530001335,20.42100530001335,20.42100530001335,20.42100530001335,20.42100530001335,20.42100530001335,20.42100530001335,20.42100530001335,20.42100530001335,20.42100530001335,20.42100530001335,21.021308100083843,,20.990699300076813,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.5689871001522988],[0.5689915001858026],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,21.001940400106832,21.021308100083843,21.021308100083843,21.021308100083843,21.021308100083843,21.021308100083843,21.021308100083843,21.021308100083843,21.021308100083843,21.021308100083843,21.021308100083843,21.021308100083843,21.021308100083843,21.47398510016501,0,,,0,,,0,,,0,,,1,[0.45215420005843043],[0.45215909997932613],0,,,0,,,0,,,0,,,0,,,0,,,0,,,pilot2,001,2026-07-07_14h28.39.555,CRM_Spat,,2026.1.3,59.69133607181479,2026-07-07 14h28.40.701345 +0200,
E:\ACERI\LE_EF_EEG\LE_EF\CRMLE\external_files\sound\FR\T1_M_Delta_Vert_3,E:\ACERI\LE_EF_EEG\LE_EF\CRMLE\external_files\sound\FR\T0_M_Alpha_Rouge_1,30,-30,7,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.5697057000361383],[0.569720699917525],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.9180187999736518],[0.9180230998899788],0,,,0,,,0,,,0,,,0,,,0,,,0,,,2,1,7,1,21.504582799971104,,,21.48519550007768,21.504582799971104,21.98852116667355,21.98852116667355,22.004648700123653,23.50456150015816,23.50456150015816,23.50456150015816,23.50456150015816,23.50456150015816,23.50456150015816,23.50456150015816,23.50456150015816,23.50456150015816,23.50456150015816,23.50456150015816,23.50456150015816,23.50456150015816,23.50456150015816,23.50456150015816,23.50456150015816,23.50456150015816,23.50456150015816,23.50456150015816,23.50456150015816,23.50456150015816,23.50456150015816,23.50456150015816,23.50456150015816,23.50456150015816,23.50456150015816,23.50456150015816,23.50456150015816,23.50456150015816,23.50456150015816,23.50456150015816,23.50456150015816,24.10458749998361,,24.07590870000422,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.5697057000361383],[0.569720699917525],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,24.090035000117496,24.10458749998361,24.10458749998361,24.10458749998361,24.10458749998361,24.10458749998361,24.10458749998361,24.10458749998361,24.10458749998361,24.10458749998361,24.10458749998361,24.10458749998361,24.10458749998361,25.02312080003321,0,,,0,,,0,,,0,,,1,[0.9180187999736518],[0.9180230998899788],0,,,0,,,0,,,0,,,0,,,0,,,0,,,pilot2,001,2026-07-07_14h28.39.555,CRM_Spat,,2026.1.3,59.69133607181479,2026-07-07 14h28.40.701345 +0200,
E:\ACERI\LE_EF_EEG\LE_EF\CRMLE\external_files\sound\FR\T2_M_Delta_Vert_3,E:\ACERI\LE_EF_EEG\LE_EF\CRMLE\external_files\sound\FR\T0_M_Alpha_Rouge_1,30,-30,8,2,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.46990859997458756],[0.4699138000141829],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.7346228000242263],[0.7346271998248994],0,,,0,,,0,,,0,,,0,,,0,,,0,,,2,2,8,2,25.054393999977037,,,25.037585300160572,25.054393999977037,25.537735366790244,25.537735366790244,25.554695300059393,27.038019600091502,27.038019600091502,27.038019600091502,27.038019600091502,27.038019600091502,27.038019600091502,27.038019600091502,27.038019600091502,27.038019600091502,27.038019600091502,27.038019600091502,27.038019600091502,27.038019600091502,27.038019600091502,27.038019600091502,27.038019600091502,27.038019600091502,27.038019600091502,27.038019600091502,27.038019600091502,27.038019600091502,27.038019600091502,27.038019600091502,27.038019600091502,27.038019600091502,27.038019600091502,27.038019600091502,27.038019600091502,27.038019600091502,27.038019600091502,27.038019600091502,27.038019600091502,,,27.50869520008564,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.46990859997458756],[0.4699138000141829],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,27.53192860004492,27.55517900013365,27.55517900013365,27.55517900013365,27.55517900013365,27.55517900013365,27.55517900013365,27.55517900013365,27.55517900013365,27.55517900013365,27.55517900013365,27.55517900013365,27.55517900013365,28.290363000007346,0,,,0,,,0,,,0,,,1,[0.7346228000242263],[0.7346271998248994],0,,,0,,,0,,,0,,,0,,,0,,,0,,,pilot2,001,2026-07-07_14h28.39.555,CRM_Spat,,2026.1.3,59.69133607181479,2026-07-07 14h28.40.701345 +0200,
E:\ACERI\LE_EF_EEG\LE_EF\CRMLE\external_files\sound\FR\T0_M_Delta_Vert_3,E:\ACERI\LE_EF_EEG\LE_EF\CRMLE\external_files\sound\FR\T0_M_Alpha_Rouge_1,30,-30,9,0,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.6048103000503033],[0.6048177999909967],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.6351660001091659],[0.6351705000270158],0,,,0,,,0,,,0,,,0,,,0,,,0,,,3,0,9,0,28.321711800061166,,,28.308238400146365,28.321711800061166,28.804950566791618,28.804950566791618,28.820991900051013,30.321183599997312,30.321183599997312,30.321183599997312,30.321183599997312,30.321183599997312,30.321183599997312,30.321183599997312,30.321183599997312,30.321183599997312,30.321183599997312,30.321183599997312,30.321183599997312,30.321183599997312,30.321183599997312,30.321183599997312,30.321183599997312,30.321183599997312,30.321183599997312,30.321183599997312,30.321183599997312,30.321183599997312,30.321183599997312,30.321183599997312,30.321183599997312,30.321183599997312,30.321183599997312,30.321183599997312,30.321183599997312,30.321183599997312,30.321183599997312,30.321183599997312,30.321183599997312,30.921880300156772,,30.939754500053823,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.6048103000503033],[0.6048177999909967],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,30.940483500016853,30.954916700022295,30.954916700022295,30.954916700022295,30.954916700022295,30.954916700022295,30.954916700022295,30.954916700022295,30.954916700022295,30.954916700022295,30.954916700022295,30.954916700022295,30.954916700022295,31.590619100024924,0,,,0,,,0,,,0,,,1,[0.6351660001091659],[0.6351705000270158],0,,,0,,,0,,,0,,,0,,,0,,,0,,,pilot2,001,2026-07-07_14h28.39.555,CRM_Spat,,2026.1.3,59.69133607181479,2026-07-07 14h28.40.701345 +0200,
