thisN,thisTrialN,thisRepN,R1.numClicks,R1.timesOn,R1.timesOff,R2.numClicks,R2.timesOn,R2.timesOff,R3.numClicks,R3.timesOn,R3.timesOff,R4.numClicks,R4.timesOn,R4.timesOff,R5.numClicks,R5.timesOn,R5.timesOff,R6.numClicks,R6.timesOn,R6.timesOff,R7.numClicks,R7.timesOn,R7.timesOff,R8.numClicks,R8.timesOn,R8.timesOff,B1.numClicks,B1.timesOn,B1.timesOff,B2.numClicks,B2.timesOn,B2.timesOff,B3.numClicks,B3.timesOn,B3.timesOff,B4.numClicks,B4.timesOn,B4.timesOff,B5.numClicks,B5.timesOn,B5.timesOff,B6.numClicks,B6.timesOn,B6.timesOff,B7.numClicks,B7.timesOn,B7.timesOff,B8.numClicks,B8.timesOn,B8.timesOff,V1.numClicks,V1.timesOn,V1.timesOff,V2.numClicks,V2.timesOn,V2.timesOff,V3.numClicks,V3.timesOn,V3.timesOff,V4.numClicks,V4.timesOn,V4.timesOff,V5.numClicks,V5.timesOn,V5.timesOff,V6.numClicks,V6.timesOn,V6.timesOff,V7.numClicks,V7.timesOn,V7.timesOff,V8.numClicks,V8.timesOn,V8.timesOff,J1.numClicks,J1.timesOn,J1.timesOff,J2.numClicks,J2.timesOn,J2.timesOff,J3.numClicks,J3.timesOn,J3.timesOff,J4.numClicks,J4.timesOn,J4.timesOff,J5.numClicks,J5.timesOn,J5.timesOff,J6.numClicks,J6.timesOn,J6.timesOff,J7.numClicks,J7.timesOn,J7.timesOff,J8.numClicks,J8.timesOn,J8.timesOff,Pasdeffort.numClicks,Pasdeffort.timesOn,Pasdeffort.timesOff,__1.numClicks,__1.timesOn,__1.timesOff,Trespeudeffort.numClicks,Trespeudeffort.timesOn,Trespeudeffort.timesOff,__2.numClicks,__2.timesOn,__2.timesOff,Peudeffort.numClicks,Peudeffort.timesOn,Peudeffort.timesOff,__3.numClicks,__3.timesOn,__3.timesOff,Effortmodere.numClicks,Effortmodere.timesOn,Effortmodere.timesOff,__4.numClicks,__4.timesOn,__4.timesOff,Effortconsiderable.numClicks,Effortconsiderable.timesOn,Effortconsiderable.timesOff,__5.numClicks,__5.timesOn,__5.timesOff,Beaucoupdeffort.numClicks,Beaucoupdeffort.timesOn,Beaucoupdeffort.timesOff,Quedubruit.numClicks,Quedubruit.timesOn,Quedubruit.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,trial.started,text_instruction.started,R1.started,R2.started,R3.started,R4.started,R5.started,R6.started,R7.started,R8.started,B1.started,B2.started,B3.started,B4.started,B5.started,B6.started,B7.started,B8.started,V1.started,V2.started,V3.started,V4.started,V5.started,V6.started,V7.started,V8.started,J1.started,J2.started,J3.started,J4.started,J5.started,J6.started,J7.started,J8.started,sound_1.started,text_instruction.stopped,sound_1.stopped,trial.stopped,trials.R1.numClicks,trials.R1.timesOn,trials.R1.timesOff,trials.R2.numClicks,trials.R2.timesOn,trials.R2.timesOff,trials.R3.numClicks,trials.R3.timesOn,trials.R3.timesOff,trials.R4.numClicks,trials.R4.timesOn,trials.R4.timesOff,trials.R5.numClicks,trials.R5.timesOn,trials.R5.timesOff,trials.R6.numClicks,trials.R6.timesOn,trials.R6.timesOff,trials.R7.numClicks,trials.R7.timesOn,trials.R7.timesOff,trials.R8.numClicks,trials.R8.timesOn,trials.R8.timesOff,trials.B1.numClicks,trials.B1.timesOn,trials.B1.timesOff,trials.B2.numClicks,trials.B2.timesOn,trials.B2.timesOff,trials.B3.numClicks,trials.B3.timesOn,trials.B3.timesOff,trials.B4.numClicks,trials.B4.timesOn,trials.B4.timesOff,trials.B5.numClicks,trials.B5.timesOn,trials.B5.timesOff,trials.B6.numClicks,trials.B6.timesOn,trials.B6.timesOff,trials.B7.numClicks,trials.B7.timesOn,trials.B7.timesOff,trials.B8.numClicks,trials.B8.timesOn,trials.B8.timesOff,trials.V1.numClicks,trials.V1.timesOn,trials.V1.timesOff,trials.V2.numClicks,trials.V2.timesOn,trials.V2.timesOff,trials.V3.numClicks,trials.V3.timesOn,trials.V3.timesOff,trials.V4.numClicks,trials.V4.timesOn,trials.V4.timesOff,trials.V5.numClicks,trials.V5.timesOn,trials.V5.timesOff,trials.V6.numClicks,trials.V6.timesOn,trials.V6.timesOff,trials.V7.numClicks,trials.V7.timesOn,trials.V7.timesOff,trials.V8.numClicks,trials.V8.timesOn,trials.V8.timesOff,trials.J1.numClicks,trials.J1.timesOn,trials.J1.timesOff,trials.J2.numClicks,trials.J2.timesOn,trials.J2.timesOff,trials.J3.numClicks,trials.J3.timesOn,trials.J3.timesOff,trials.J4.numClicks,trials.J4.timesOn,trials.J4.timesOff,trials.J5.numClicks,trials.J5.timesOn,trials.J5.timesOff,trials.J6.numClicks,trials.J6.timesOn,trials.J6.timesOff,trials.J7.numClicks,trials.J7.timesOn,trials.J7.timesOff,trials.J8.numClicks,trials.J8.timesOn,trials.J8.timesOff,escu.started,Pasdeffort.started,__1.started,Trespeudeffort.started,__2.started,Peudeffort.started,__3.started,Effortmodere.started,__4.started,Effortconsiderable.started,__5.started,Beaucoupdeffort.started,Quedubruit.started,escu.stopped,trials.Pasdeffort.numClicks,trials.Pasdeffort.timesOn,trials.Pasdeffort.timesOff,trials.__1.numClicks,trials.__1.timesOn,trials.__1.timesOff,trials.Trespeudeffort.numClicks,trials.Trespeudeffort.timesOn,trials.Trespeudeffort.timesOff,trials.__2.numClicks,trials.__2.timesOn,trials.__2.timesOff,trials.Peudeffort.numClicks,trials.Peudeffort.timesOn,trials.Peudeffort.timesOff,trials.__3.numClicks,trials.__3.timesOn,trials.__3.timesOff,trials.Effortmodere.numClicks,trials.Effortmodere.timesOn,trials.Effortmodere.timesOff,trials.__4.numClicks,trials.__4.timesOn,trials.__4.timesOff,trials.Effortconsiderable.numClicks,trials.Effortconsiderable.timesOn,trials.Effortconsiderable.timesOff,trials.__5.numClicks,trials.__5.timesOn,trials.__5.timesOff,trials.Beaucoupdeffort.numClicks,trials.Beaucoupdeffort.timesOn,trials.Beaucoupdeffort.timesOff,trials.Quedubruit.numClicks,trials.Quedubruit.timesOn,trials.Quedubruit.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[1.8367020001169294],[1.8367077000439167],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.4858609000220895],[0.48586530005559325],0,,,0,,,0,0,0,0,0.0557626998052001,,True,0.02230229997076094,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0557626998052001,0.0317297664626191,1.0723473997786641,1.0723473997786641,1.8940801999997348,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[1.8367020001169294],[1.8367077000439167],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1.8972875999752432,1.9222901999019086,1.9222901999019086,1.9222901999019086,1.9222901999019086,1.9222901999019086,1.9222901999019086,1.9222901999019086,1.9222901999019086,1.9222901999019086,1.9222901999019086,1.9222901999019086,1.9222901999019086,2.4084936999715865,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.4858609000220895],[0.48586530005559325],0,,,0,,,pilot,001,2026-07-07_11h52.20.460,CRM_Spat,,2026.1.3,60.145745131067876,2026-07-07 11h52.22.031353 +0200,
1,0,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.5362146999686956],[0.5362197000067681],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[1.4691538999322802],[1.4691586999688298],0,,,0,,,1,0,1,0,2.438748999964446,,,2.411155599867925,2.438748999964446,2.438748999964446,2.438748999964446,2.438748999964446,2.438748999964446,2.438748999964446,2.438748999964446,2.438748999964446,2.438748999964446,2.438748999964446,2.438748999964446,2.438748999964446,2.438748999964446,2.438748999964446,2.438748999964446,2.438748999964446,2.438748999964446,2.438748999964446,2.438748999964446,2.438748999964446,2.438748999964446,2.438748999964446,2.438748999964446,2.438748999964446,2.438748999964446,2.438748999964446,2.438748999964446,2.438748999964446,2.438748999964446,2.438748999964446,2.438748999964446,2.438748999964446,2.438748999964446,2.422831366599227,,,2.9765512999147177,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.5362146999686956],[0.5362197000067681],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,2.9956641998142004,3.023193599889055,3.023193599889055,3.023193599889055,3.023193599889055,3.023193599889055,3.023193599889055,3.023193599889055,3.023193599889055,3.023193599889055,3.023193599889055,3.023193599889055,3.023193599889055,4.4927182998508215,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[1.4691538999322802],[1.4691586999688298],0,,,0,,,pilot,001,2026-07-07_11h52.20.460,CRM_Spat,,2026.1.3,60.145745131067876,2026-07-07 11h52.22.031353 +0200,
2,0,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.6340149999596179],[0.6340191999915987],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.23534850007854402],[0.23535279999487102],0,,,0,,,2,0,2,0,4.539745799964294,,,4.49525439995341,4.539745799964294,4.539745799964294,4.539745799964294,4.539745799964294,4.539745799964294,4.539745799964294,4.539745799964294,4.539745799964294,4.539745799964294,4.539745799964294,4.539745799964294,4.539745799964294,4.539745799964294,4.539745799964294,4.539745799964294,4.539745799964294,4.539745799964294,4.539745799964294,4.539745799964294,4.539745799964294,4.539745799964294,4.539745799964294,4.539745799964294,4.539745799964294,4.539745799964294,4.539745799964294,4.539745799964294,4.539745799964294,4.539745799964294,4.539745799964294,4.539745799964294,4.539745799964294,4.539745799964294,4.506548466455812,,,5.175376700004563,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.6340149999596179],[0.6340191999915987],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,5.194412399781868,5.222261999966577,5.222261999966577,5.222261999966577,5.222261999966577,5.222261999966577,5.222261999966577,5.222261999966577,5.222261999966577,5.222261999966577,5.222261999966577,5.222261999966577,5.222261999966577,5.457953599980101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.23534850007854402],[0.23535279999487102],0,,,0,,,pilot,001,2026-07-07_11h52.20.460,CRM_Spat,,2026.1.3,60.145745131067876,2026-07-07 11h52.22.031353 +0200,
3,0,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.301441399846226],[0.3014454999938607],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.15252540004439652],[0.1525296000763774],0,,,0,,,3,0,3,0,5.488605999853462,,,5.460079699987546,5.488605999853462,5.488605999853462,5.488605999853462,5.488605999853462,5.488605999853462,5.488605999853462,5.488605999853462,5.488605999853462,5.488605999853462,5.488605999853462,5.488605999853462,5.488605999853462,5.488605999853462,5.488605999853462,5.488605999853462,5.488605999853462,5.488605999853462,5.488605999853462,5.488605999853462,5.488605999853462,5.488605999853462,5.488605999853462,5.488605999853462,5.488605999853462,5.488605999853462,5.488605999853462,5.488605999853462,5.488605999853462,5.488605999853462,5.488605999853462,5.488605999853462,5.488605999853462,5.488605999853462,5.472129266538347,,,5.791490599978715,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.301441399846226],[0.3014454999938607],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,5.804498299956322,5.821742599830031,5.821742599830031,5.821742599830031,5.821742599830031,5.821742599830031,5.821742599830031,5.821742599830031,5.821742599830031,5.821742599830031,5.821742599830031,5.821742599830031,5.821742599830031,5.974554599961266,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.15252540004439652],[0.1525296000763774],0,,,0,,,pilot,001,2026-07-07_11h52.20.460,CRM_Spat,,2026.1.3,60.145745131067876,2026-07-07 11h52.22.031353 +0200,
4,0,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.13560559996403754],[0.1356101999990642],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.15488419984467328],[0.15488839987665415],0,,,0,,,4,0,4,0,6.004966499982402,,,5.976558899972588,6.004966499982402,6.004966499982402,6.004966499982402,6.004966499982402,6.004966499982402,6.004966499982402,6.004966499982402,6.004966499982402,6.004966499982402,6.004966499982402,6.004966499982402,6.004966499982402,6.004966499982402,6.004966499982402,6.004966499982402,6.004966499982402,6.004966499982402,6.004966499982402,6.004966499982402,6.004966499982402,6.004966499982402,6.004966499982402,6.004966499982402,6.004966499982402,6.004966499982402,6.004966499982402,6.004966499982402,6.004966499982402,6.004966499982402,6.004966499982402,6.004966499982402,6.004966499982402,6.004966499982402,5.9889046664504955,,,6.14196169981733,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.13560559996403754],[0.1356101999990642],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,6.152253899956122,6.171859099995345,6.171859099995345,6.171859099995345,6.171859099995345,6.171859099995345,6.171859099995345,6.171859099995345,6.171859099995345,6.171859099995345,6.171859099995345,6.171859099995345,6.171859099995345,6.327036699978635,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.15488419984467328],[0.15488839987665415],0,,,0,,,pilot,001,2026-07-07_11h52.20.460,CRM_Spat,,2026.1.3,60.145745131067876,2026-07-07 11h52.22.031353 +0200,
5,0,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.100792899960652],[0.10079739987850189],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.13476609997451305],[0.13477039989084005],0,,,0,,,5,0,5,0,6.3560629999265075,,,6.329082299955189,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.3560629999265075,6.340221066555629,,,6.45829419977963,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.100792899960652],[0.10079739987850189],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,6.473325899802148,6.506440899800509,6.506440899800509,6.506440899800509,6.506440899800509,6.506440899800509,6.506440899800509,6.506440899800509,6.506440899800509,6.506440899800509,6.506440899800509,6.506440899800509,6.506440899800509,6.641529099782929,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.13476609997451305],[0.13477039989084005],0,,,0,,,pilot,001,2026-07-07_11h52.20.460,CRM_Spat,,2026.1.3,60.145745131067876,2026-07-07 11h52.22.031353 +0200,
6,0,6,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.13906840002164245],[0.13907760009169579],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.25280570005998015],[0.2528109000995755],0,,,0,,,6,0,6,0,6.671602599788457,,,6.643644399940968,6.671602599788457,6.671602599788457,6.671602599788457,6.671602599788457,6.671602599788457,6.671602599788457,6.671602599788457,6.671602599788457,6.671602599788457,6.671602599788457,6.671602599788457,6.671602599788457,6.671602599788457,6.671602599788457,6.671602599788457,6.671602599788457,6.671602599788457,6.671602599788457,6.671602599788457,6.671602599788457,6.671602599788457,6.671602599788457,6.671602599788457,6.671602599788457,6.671602599788457,6.671602599788457,6.671602599788457,6.671602599788457,6.671602599788457,6.671602599788457,6.671602599788457,6.671602599788457,6.671602599788457,6.655586666489641,,,6.813214799854904,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.13906840002164245],[0.13907760009169579],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,6.825055299792439,6.8556546999607235,6.8556546999607235,6.8556546999607235,6.8556546999607235,6.8556546999607235,6.8556546999607235,6.8556546999607235,6.8556546999607235,6.8556546999607235,6.8556546999607235,6.8556546999607235,6.8556546999607235,7.108841699780896,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.25280570005998015],[0.2528109000995755],0,,,0,,,pilot,001,2026-07-07_11h52.20.460,CRM_Spat,,2026.1.3,60.145745131067876,2026-07-07 11h52.22.031353 +0200,
7,0,7,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.11886500008404255],[0.11886930000036955],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.0893287998624146],[0.08933839993551373],0,,,0,,,7,0,7,0,7.138522799825296,,,7.1122110998257995,7.138522799825296,7.138522799825296,7.138522799825296,7.138522799825296,7.138522799825296,7.138522799825296,7.138522799825296,7.138522799825296,7.138522799825296,7.138522799825296,7.138522799825296,7.138522799825296,7.138522799825296,7.138522799825296,7.138522799825296,7.138522799825296,7.138522799825296,7.138522799825296,7.138522799825296,7.138522799825296,7.138522799825296,7.138522799825296,7.138522799825296,7.138522799825296,7.138522799825296,7.138522799825296,7.138522799825296,7.138522799825296,7.138522799825296,7.138522799825296,7.138522799825296,7.138522799825296,7.138522799825296,7.122170466526101,,,7.259004399878904,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.11886500008404255],[0.11886930000036955],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,7.27252439991571,7.305234199855477,7.305234199855477,7.305234199855477,7.305234199855477,7.305234199855477,7.305234199855477,7.305234199855477,7.305234199855477,7.305234199855477,7.305234199855477,7.305234199855477,7.305234199855477,7.395115999970585,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.0893287998624146],[0.08933839993551373],0,,,0,,,pilot,001,2026-07-07_11h52.20.460,CRM_Spat,,2026.1.3,60.145745131067876,2026-07-07 11h52.22.031353 +0200,
8,0,8,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.10389919998124242],[0.10390470013953745],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.10265829996205866],[0.10266249999403954],0,,,0,,,8,0,8,0,7.438379899831489,,,7.398360599996522,7.438379899831489,7.438379899831489,7.438379899831489,7.438379899831489,7.438379899831489,7.438379899831489,7.438379899831489,7.438379899831489,7.438379899831489,7.438379899831489,7.438379899831489,7.438379899831489,7.438379899831489,7.438379899831489,7.438379899831489,7.438379899831489,7.438379899831489,7.438379899831489,7.438379899831489,7.438379899831489,7.438379899831489,7.438379899831489,7.438379899831489,7.438379899831489,7.438379899831489,7.438379899831489,7.438379899831489,7.438379899831489,7.438379899831489,7.438379899831489,7.438379899831489,7.438379899831489,7.438379899831489,7.4061670664853105,,,7.543729199795052,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.10389919998124242],[0.10390470013953745],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,7.554715599864721,7.571860599797219,7.571860599797219,7.571860599797219,7.571860599797219,7.571860599797219,7.571860599797219,7.571860599797219,7.571860599797219,7.571860599797219,7.571860599797219,7.571860599797219,7.571860599797219,7.674818799830973,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.10265829996205866],[0.10266249999403954],0,,,0,,,pilot,001,2026-07-07_11h52.20.460,CRM_Spat,,2026.1.3,60.145745131067876,2026-07-07 11h52.22.031353 +0200,
9,0,9,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.13799509988166392],[0.13800509995780885],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.10288730007596314],[0.10289199999533594],0,,,0,,,9,0,9,0,7.706167199881747,,,7.676849799929187,7.706167199881747,7.706167199881747,7.706167199881747,7.706167199881747,7.706167199881747,7.706167199881747,7.706167199881747,7.706167199881747,7.706167199881747,7.706167199881747,7.706167199881747,7.706167199881747,7.706167199881747,7.706167199881747,7.706167199881747,7.706167199881747,7.706167199881747,7.706167199881747,7.706167199881747,7.706167199881747,7.706167199881747,7.706167199881747,7.706167199881747,7.706167199881747,7.706167199881747,7.706167199881747,7.706167199881747,7.706167199881747,7.706167199881747,7.706167199881747,7.706167199881747,7.706167199881747,7.706167199881747,7.6888755665315935,,,7.847350499825552,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.13799509988166392],[0.13800509995780885],0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,7.864763899939135,7.889222199795768,7.889222199795768,7.889222199795768,7.889222199795768,7.889222199795768,7.889222199795768,7.889222199795768,7.889222199795768,7.889222199795768,7.889222199795768,7.889222199795768,7.889222199795768,7.9924575998447835,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[0.10288730007596314],[0.10289199999533594],0,,,0,,,pilot,001,2026-07-07_11h52.20.460,CRM_Spat,,2026.1.3,60.145745131067876,2026-07-07 11h52.22.031353 +0200,
